,Education Track,,
Class,Full Name,Pre req,Recommended
,,,
CPSC 1301, Computer Science I, N/A,
CYBR 2160,Intro to Information Security,CYBER 2159,
CYBR 2159,Fundementals of Computer Networking,CPSC 1301K,
CPSC  2105,Computer Organization,CPSC 1301K,
CPSC 1302,Computer Science 2,CPSC 1301K,
CPSC 3131,Database Systems 1,CPSC 1302,
MATH 2125,Intro to Discrete math,MATH 1113,
CPSC 3175,Object-Oriented Design,CPSC 2108,
MATH 1113,Pre-Calculus,MATH 1111,
CPSC 4125,Server-Side Web Development,"CPSC 2125, CPSC 3131",
CPSC 2108,Data Structures ,CPSC 1302,MATH 2125
UTCH 2105,Knowing and Learning in Mathematics and Science,UTCH 1202,
UTCH 1201,Step 1: Inquiry Approaches to Teaching,N/A,
UTCH 1202,Step II: Inquiry-Based Lesson Design,UTCH 1201,
CYBR 3175,Object-Oriented Design,CPSC 2108,
EDCI 2405,Step II: Inquiry-Based Lesson Design,N/A,
CPSC 3118,Graphical User Interface Development,CPSC 1302,
CPSC 3105,Digital Multimedia Development,CPSC 2125,
UTCH 2215,Research Methods,UTCH 1202,
UTCH 3205,Classroom Interactions ,UTCH 2105,
CPSC 3125 ,Operating Systems,"CPSC 2108, CPSC 2105",
CPSC 4175,Software engineering,CPSC 3175,
UTCH 4205,Project-Based Instruction,Admitted to Teacher Education with a score of Y and UTCH 3205 ,
UTCH 2023,Step III: Technological and Pedagogical Content Knowledge,UTCH 1202,
ITDS 2125,Historical Perspectives on the Philosophy of Science and Mathematics,,
UTCH 4485,Student Teaching,,
CPSC 4000,Baccalaureate Survey,,
