Course,Description ,Hours,Spring,Fall,Summer
CPSC 1301K,CPSC 1301K - Computer Science 1 (Fa Sp Su),4,TRUE,TRUE,TRUE
CPSC 1302,CPSC 1302 - Computer Science 2 (Fa Sp Su),3,TRUE,TRUE,TRUE
CPSC 2105,CPSC 2105 - Computer Organization (Fa Sp Su),3,TRUE,TRUE,TRUE
CYBR 2159,CYBR 2159 - Fundamentals of Computer Networking (Fa Sp --),3,TRUE,TRUE,FALSE
CYBR 2160,CYBR 2160 - Intro to Information Security (Fa Sp Su),3,TRUE,TRUE,TRUE
MATH 2125,MATH 2125 - Intro to Discrete Math (Fa Sp Su),3,TRUE,TRUE,TRUE
CPSC 2108,CPSC 2108 - Data Structures (Fa Sp Su),3,TRUE,TRUE,TRUE
CPSC 2125,Internet Programming,3,,,
CPSC 3118,Graphical User Interface Development,3,,,
CPSC 3125 ,CPSC 3125 - Operating Systems (Fa Sp --),3,TRUE,TRUE,FALSE
CPSC 3131,CPSC 3131 - Database Systems I (Fa Sp --),3,TRUE,TRUE,FALSE
CPSC 3105,Digital Multimedia Development,3,,,
CPSC 3175,CPSC 3175 - Object-Oriented Design (Fa Sp --),3,TRUE,TRUE,FALSE
CPSC 4000,CPSC 4000 - Baccalaureate Survey (Fa Sp Su),0,TRUE,TRUE,TRUE
CPSC 4125,Server-Side Web Development,3,,,
CPSC 4175,CPSC 4175 - Software Engineering (Fa -- --),3,FALSE,TRUE,FALSE
MATH 1113,MATH 1113 - Pre-Calculus (Fa Sp Su),4,TRUE,TRUE,TRUE
MATH 2125,MATH 2125 - Intro to Discrete Math (Fa Sp Su),3,TRUE,TRUE,TRUE
EDCI 2405,Elementary Practicum in Computer Science,1,TRUE,FALSE,
SPED 4115,Teaching Math and Science to Exceptional Learners,2,TRUE,FALSE,
UTCH 1201,Step I: Inquiry Approaches to Teaching,1,TRUE,,
UTCH 1202,Step II: Inquiry-Based Lesson Design,1,TRUE,,
UTCH 2105,Knowing and Learning in Mathematics and Science,3,TRUE,,
UTCH 2215,Research Methods,3,TRUE,,
UTCH 3205,Classroom Interactions,3,TRUE,,
UTCH 4205,Project-Based Instruction,3,TRUE,,
UTCH 4485,Student Teaching,9,TRUE,,
UTCH 4795,Student Teaching Seminar,1,,,
ITDS 2125,Historical Perspectives on the Philosophy of Science and Mathematics (if not taken in Area C),3,,,
or UTCH 2203,Step III: Technological and Pedagogical Content Knowledge,,,,
