Course,Description ,Hours,Spring,Fall,Summer
CPSC 1301K,Computer Science I,4,TRUE,TRUE,TRUE
CPSC 1302,Computer Science II,3,TRUE,TRUE,TRUE
CPSC 2105,Computer Organization,3,TRUE,TRUE,TRUE
CYBR 2159,Fundamentals of Computer Networks,3,TRUE,TRUE,FALSE
CYBR 2160,Intro to Information Security,3,TRUE,TRUE,FALSE
MATH 2125,Introduction to Discrete Mathematics (One hour to Area G),3,TRUE,TRUE,TRUE
CPSC 2108,Data Structures,3,TRUE,TRUE,TRUE
CPSC 3125,Operating Systems,3,TRUE,TRUE,FALSE
CPSC 3131,Database Systems I,3,TRUE,TRUE,FALSE
CPSC 3165,Professionalism in Computing,3,TRUE,TRUE,TRUE
CPSC 3175,Object-Oriented Design,3,TRUE,TRUE,FALSE
CPSC 4000,Baccalaureate Survey,0,TRUE,TRUE,TRUE
MATH 5125U,Discrete Mathematics,3,TRUE,TRUE,TRUE
CPSC 3118,Graphical User Interface Development,3,,FALSE,
CPSC 4111,Game Programming I,3,,TRUE,
CPSC 4112,Game Programming II,3,,FALSE,
CPSC 4113,Game Jam,1,,,
CPSC 4145,Computer Graphics,3,,TRUE,
CPSC 4175,Software Engineering,3,FALSE,TRUE,FALSE
CPSC 4176,Senior Software Engineering Project,3,TRUE,FALSE,FALSE
CPSC 4185,Artificial Intelligence and Machine Learning,3,,,
MATH 1131,Calculus with Analytic Geometry I,4,TRUE,,
Select 6 credits from CPSC/CYBR 3000 level or above,,6,,,
Select 8 credits of General Electives,,8,,,
